,degree,score
0,0,0.5147600922430808
1,1,0.9997364953886694
2,2,0.9997364953886694
3,3,0.9997364953886694
4,4,0.9992098328826018
5,5,0.9978916145631216
6,6,0.9931457495930426
7,7,0.9902451130799246
8,8,0.984447313623364
9,9,0.9781228507459163
10,10,0.9712727664270023
11,11,0.9646854896269531
12,12,0.9594119201713859
13,13,0.9522941624086393
14,14,0.9451784922640118
15,15,0.9396431536097222
16,16,0.9346358689019733
17,17,0.9309454119880509
18,18,0.9280461650857671
19,19,0.9233037718557242
20,20,0.9180322854441787
21,21,0.9140783248337453
22,22,0.9114422339965591
23,23,0.9074879257547124
24,24,0.9056426972977512
25,25,0.9027427542178211
26,26,0.8995779169157263
27,27,0.896151658961142
28,28,0.8927247066585504
29,29,0.8914082228368588
30,30,0.8895633420113113
