,degree,score
0,0,0.5147600922430808
1,1,0.9997364953886694
2,2,1.0
3,3,1.0
4,4,0.9976270679723702
5,5,0.9551840342405964
6,6,0.870310116494946
7,7,0.7951914342156036
8,8,0.7519655244779171
9,9,0.7179678409838773
10,10,0.6876578379265507
11,11,0.6647297870172109
12,12,0.6436459216705922
13,13,0.6254630450426022
14,14,0.6112296143907695
15,15,0.5988410654793042
16,16,0.5877686509284776
17,17,0.576698323080951
18,18,0.5693177559697005
19,19,0.5624648915142989
20,20,0.5582474253777152
21,21,0.5535026005574177
22,22,0.5482304179682261
23,23,0.5450666235603714
24,24,0.5440119098522219
25,25,0.5424305327231853
26,26,0.5408491565089683
27,27,0.5403217996548936
28,28,0.5387411177886836
29,29,0.5374235938172107
30,30,0.536633079068399
